住所CD,都道府県CD,市区町村CD,町域CD,郵便番号,事業所フラグ,廃止フラグ,都道府県,都道府県カナ,市区町村,市区町村カナ,町域,町域カナ,町域補足,京都通り名,字丁目,字丁目カナ,補足,事業所名,事業所名カナ,事業所住所,新住所CD
331000000,11,11101,111010000,331-0000,0,0,埼玉県,サイタマケン,さいたま市西区,サイタマシニシク,,　,（該当なし）,,,,,,,,
331005800,11,11101,111010001,331-0058,0,0,埼玉県,サイタマケン,さいたま市西区,サイタマシニシク,飯田,イイダ,,,,,,,,,
331006800,11,11101,111010002,331-0068,0,0,埼玉県,サイタマケン,さいたま市西区,サイタマシニシク,飯田新田,イイダシンデン,,,,,,,,,
331005300,11,11101,111010003,331-0053,0,0,埼玉県,サイタマケン,さいたま市西区,サイタマシニシク,植田谷本,ウエタヤホン,,,,,,,,,
331006700,11,11101,111010004,331-0067,0,0,埼玉県,サイタマケン,さいたま市西区,サイタマシニシク,植田谷本村新田,ウエタヤホンムラシンデン,,,,,,,,,
331004500,11,11101,111010005,331-0045,0,0,埼玉県,サイタマケン,さいたま市西区,サイタマシニシク,内野本郷,ウチノホンゴウ,,,,,,,,,
331004700,11,11101,111010006,331-0047,0,0,埼玉県,サイタマケン,さいたま市西区,サイタマシニシク,指扇,サシオウギ,,,,,,,,,
